,0,1,2,3,4,5,6,7,8,9
0,3740.0,392.0,49.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0
1,9411.0,3269.0,295.0,113.0,28.0,10.0,0.0,0.0,0.0,0.0
2,5497.0,5243.0,716.0,294.0,138.0,55.0,8.0,0.0,0.0,0.0
3,1486.0,3159.0,595.0,375.0,252.0,163.0,52.0,18.0,2.0,0.0
4,1355.0,2169.0,321.0,252.0,242.0,209.0,157.0,60.0,14.0,0.0
5,463.0,1352.0,175.0,151.0,142.0,150.0,185.0,134.0,45.0,8.0
6,55.0,726.0,100.0,71.0,65.0,88.0,153.0,167.0,111.0,42.0
7,22.0,222.0,101.0,91.0,69.0,93.0,42.0,80.0,178.0,130.0
8,8.0,121.0,53.0,65.0,64.0,50.0,40.0,51.0,82.0,252.0
9,104.0,118.0,78.0,8.0,26.0,34.0,50.0,51.0,80.0,397.0
